951,APARTMENT,3,1168735,1933270,41.972419422,-87.654906985,"(41.972419422, -87.654906985)",244
953,CHA PLAY LOT,28,1167283,1892788,41.861365863,-87.661412497,"(41.861365863, -87.661412497)",245
954,GANGWAY,18,1129032,1920252,41.937466523,-87.801201378,"(41.937466523, -87.801201378)",246
955,STREET,61,1166178,1871838,41.803900587,-87.66606609,"(41.803900587, -87.66606609)",247
957,ALLEY,25,1138852,1899459,41.88023516,-87.765616381,"(41.88023516, -87.765616381)",248
958,AUTO,26,1146394,1899549,41.880341888,-87.737920376,"(41.880341888, -87.737920376)",249
959,STREET,51,1194550,1835028,41.702239525,-87.563221412,"(41.702239525, -87.563221412)",250
960,STREET,29,1152937,1892898,41.861963739,-87.71407118,"(41.861963739, -87.71407118)",251
962,HOUSE,67,1163973,1867826,41.792937856,-87.674265785,"(41.792937856, -87.674265785)",252
963,AUTO,25,1136747,1900498,41.883124266,-87.773320938,"(41.883124266, -87.773320938)",253
964,HOUSE,19,1137665,1914989,41.922872847,-87.769600256,"(41.922872847, -87.769600256)",254
965,CHA GROUNDS,35,1176116,1885609,41.841471897,-87.629204627,"(41.841471897, -87.629204627)",255
966,CHA GROUNDS,35,1176116,1885609,41.841471897,-87.629204627,"(41.841471897, -87.629204627)",256
967,STREET,66,1158471,1862460,41.778326776,-87.694587279,"(41.778326776, -87.694587279)",257
968,AUTO,30,1158040,1889185,41.851672339,-87.695440063,"(41.851672339, -87.695440063)",258
969,STREET,29,1146379,1894981,41.867807032,-87.738091776,"(41.867807032, -87.738091776)",259
971,HOSPITAL,17,1129980,1927331,41.956875902,-87.797554615,"(41.956875902, -87.797554615)",260
973,STREET,19,1137999,1914917,41.922669239,-87.768374753,"(41.922669239, -87.768374753)",261
974,STREET,8,1171513,1907711,41.902223682,-87.645445999,"(41.902223682, -87.645445999)",262
975,STREET,16,1154781,1927748,41.957558481,-87.706367009,"(41.957558481, -87.706367009)",263
976,STREET,23,1152538,1906126,41.89827066,-87.715186113,"(41.89827066, -87.715186113)",264
978,STREET,28,1166565,1894590,41.866326096,-87.663996554,"(41.866326096, -87.663996554)",265
979,STREET,30,1153106,1886998,41.845770099,-87.713607116,"(41.845770099, -87.713607116)",266
980,ALLEY,23,1152144,1908013,41.903456551,-87.716583427,"(41.903456551, -87.716583427)",267
984,STREET,15,1141620,1927040,41.955869698,-87.754769218,"(41.955869698, -87.754769218)",268
985,HOUSE,38,1178690,1878871,41.82292402,-87.619964344,"(41.82292402, -87.619964344)",269
986,ALLEY,27,1158194,1897252,41.87380588,-87.69465458,"(41.87380588, -87.69465458)",270
987,AUTO,67,1169267,1867930,41.793110232,-87.654850284,"(41.793110232, -87.654850284)",271
988,STREET,24,1158149,1909558,41.907575569,-87.694483406,"(41.907575569, -87.694483406)",272
989,PARKING LOT,63,1154556,1871104,41.802126073,-87.70870977,"(41.802126073, -87.70870977)",273
990,YARD,49,1178791,1831148,41.691964476,-87.621043395,"(41.691964476, -87.621043395)",274
991,STREET,24,1165456,1909953,41.908507004,-87.667630252,"(41.908507004, -87.667630252)",275
992,RIVER,32,1178351,1902561,41.887938638,-87.620486468,"(41.887938638, -87.620486468)",276
993,PARK PROPERTY,26,1147002,1901521,41.885741686,-87.73563741,"(41.885741686, -87.73563741)",277
995,AUTO,30,1147549,1883765,41.837006543,-87.734083807,"(41.837006543, -87.734083807)",278
996,APARTMENT,29,1151278,1892802,41.86173298,-87.720163668,"(41.86173298, -87.720163668)",279
997,STREET,29,1152095,1894464,41.866277647,-87.717120788,"(41.866277647, -87.717120788)",280
